Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-07-27 07:34:41,false,"Phoenix Running","3.17","431","00:39:30","149","170","3.8","150","185","12:27","6:32","43","33","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:01.98","4","0.0","00:39:07","00:39:30","1,385","1,432"
Running,2021-07-22 07:51:35,false,"Phoenix Running","2.42","316","00:30:15","146","167","3.2","150","158","12:32","11:27","25","19","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","05:16.23","3","0.0","00:30:14","00:30:15","1,412","1,434"
Strength Training,2021-07-15 08:03:15,false,"Strength","0.00","193","00:27:57","113","143","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","27:57.15","1","0.0","00:00:00","00:27:57","--","--"
Running,2021-07-14 07:24:11,false,"Phoenix Running","3.47","432","00:40:38","144","186","3.7","147","177","11:42","6:37","43","46","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","06:21.30","4","0.0","00:40:32","00:40:38","1,401","1,437"
Running,2021-07-12 08:03:18,false,"Phoenix Running","3.23","435","00:40:16","148","169","3.6","147","158","12:29","11:16","41","26","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:50.47","4","0.0","00:40:16","00:40:16","1,399","1,434"
Running,2021-07-07 07:51:44,false,"Phoenix Running","1.12","142","00:14:03","140","182","2.7","128","172","12:36","6:10","16","--","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:16.47","2","0.0","00:14:02","00:14:03","1,393","1,434"
Running,2021-07-07 07:38:35,false,"Phoenix Running","0.95","141","00:12:08","157","167","3.0","133","165","12:50","7:23","--","13","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","12:07.78","1","0.0","00:12:08","00:12:08","1,401","1,419"
Running,2021-07-01 06:19:45,false,"Phoenix Running","2.71","338","00:31:34","141","160","3.5","154","239","11:40","10:14","19","14","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:47.50","3","0.0","00:31:21","00:31:34","1,411","1,432"
Running,2021-06-29 07:32:46,false,"Phoenix Running","2.73","377","00:31:39","154","184","4.0","148","171","11:36","6:38","30","30","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","08:48.66","3","0.0","00:31:39","00:31:39","1,401","1,437"
Running,2021-06-23 06:23:20,false,"Phoenix Running","2.80","352","00:32:43","141","170","3.5","152","185","11:41","5:06","27","33","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:07.37","3","0.0","00:32:31","00:32:43","1,411","1,432"
