Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-18 13:38:36,false,"Phoenix Running","2.22","262","00:23:05","158","186","3.8","151","178","10:23","6:04","18","23","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:16.55","4","0.0","--","--","--","00:00:00","00:23:05","1,407","1,434"
Pool Swimming,2021-08-18 06:46:08,false,"Pool Swimming","1,075","186","00:25:00","130","146","2.5","--","--","2:11","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","549","46","23","--","--","0:00","0.0","0:00","No","01:29.01","5","0.0","--","--","--","00:00:00","00:30:09","--","--"
Running,2021-08-16 07:59:02,false,"Phoenix Running","1.75","225","00:21:30","145","173","3.4","150","158","12:17","11:22","21","21","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:29.94","2","0.0","--","--","--","00:00:00","00:21:30","1,407","1,433"
Pool Swimming,2021-08-12 07:05:16,false,"Pool Swimming","1,175","191","00:34:46","125","147","2.3","--","--","2:25","1:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","578","48","20","--","--","0:00","0.0","0:00","No","02:43.13","8","0.0","--","--","--","00:00:00","00:42:36","--","--"
Other,2021-08-10 17:32:20,false,"Phoenix Walk","4.35","592","02:03:55","109","169","2.6","101","160","2.1","4.8","794","799","0.56","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:10.26","5","0.0","--","--","--","01:49:48","02:03:55","1,368","2,064"
Other,2021-08-10 07:51:21,false,"Phoenix Walk","4.00","345","01:21:10","103","157","1.3","106","145","3.0","5.4","60","60","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:07.70","5","0.0","--","--","--","01:18:14","01:21:10","1,385","1,433"
Pool Swimming,2021-08-09 17:48:33,false,"Pool Swimming","--","--","00:00:13.2","63","64","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:13.16","1","0.0","--","--","--","00:00:00","00:00:25.8","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","229","00:32:03","135","157","3.0","--","--","2:00","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","617","41","23","--","--","0:00","0.0","0:00","No","05:28.72","3","0.0","--","--","--","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","302","00:32:03","--","--","--","--","--","2:00","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","617","41","23","--","--","0:00","0.0","0:00","No","05:28.72","3","0.0","--","--","--","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-06 19:37:06,false,"Pool Swimming","1,375","266","00:32:17","141","171","3.1","--","--","2:14","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","708","46","23","--","--","0:00","0.0","0:00","No","00:02.01","12","0.0","--","--","--","00:30:43","00:44:12","--","--"
Running,2021-08-05 07:01:33,false,"Phoenix Running","4.32","592","00:53:52","157","179","4.5","146","162","12:28","10:01","46","56","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.67","7","0.0","--","--","--","00:53:35","00:53:52","1,374","1,434"
Pool Swimming,2021-08-03 06:34:05,false,"Pool Swimming","1,200","236","00:30:26","136","175","3.0","--","--","2:16","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","584","46","21","--","--","0:00","0.0","0:00","No","01:25.36","7","0.0","--","--","--","00:27:15","00:35:41","--","--"
Other,2021-08-02 07:04:34,false,"Phoenix Walk","3.00","262","01:03:07","98","124","1.2","104","123","2.9","4.3","33","30","0.74","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","19:06.24","3","0.0","--","--","--","01:00:59","01:05:10","1,400","1,437"
Strength Training,2021-08-01 17:52:19,false,"Strength","0.00","298","01:32:04","86","141","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:05.66","3","0.0","--","--","--","00:00:00","01:32:04","--","--"
Pool Swimming,2021-07-29 14:28:09,false,"Pool Swimming","1,300","292","00:30:01","--","--","--","--","--","1:58","0:54","--","--","0.00","0.0","0.0","0.0","0.0","0.0","592","41","23","--","--","0:00","0.0","0:00","No","03:40.33","6","0.0","--","--","--","00:00:00","00:41:48","--","--"
Other,2021-07-28 07:03:44,false,"Phoenix Walk","2.52","234","00:53:44","100","129","1.2","104","122","2.8","3.8","30","23","0.73","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:58.23","3","0.0","--","--","--","00:51:34","00:53:44","1,401","1,437"
Running,2021-07-27 07:34:41,false,"Phoenix Running","3.17","431","00:39:30","149","170","3.8","150","185","12:27","6:32","43","33","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:01.98","4","0.0","--","--","--","00:39:07","00:39:30","1,385","1,432"
Running,2021-07-22 07:51:35,false,"Phoenix Running","2.42","316","00:30:15","146","167","3.2","150","158","12:32","11:27","25","19","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","05:16.23","3","0.0","--","--","--","00:30:14","00:30:15","1,412","1,434"
Strength Training,2021-07-15 08:03:15,false,"Strength","0.00","193","00:27:57","113","143","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","27:57.15","1","0.0","--","--","--","00:00:00","00:27:57","--","--"
Running,2021-07-14 07:24:11,false,"Phoenix Running","3.47","432","00:40:38","144","186","3.7","147","177","11:42","6:37","43","46","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","06:21.30","4","0.0","--","--","--","00:40:32","00:40:38","1,401","1,437"
Running,2021-07-12 08:03:18,false,"Phoenix Running","3.23","435","00:40:16","148","169","3.6","147","158","12:29","11:16","41","26","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:50.47","4","0.0","--","--","--","00:40:16","00:40:16","1,399","1,434"
Running,2021-07-07 07:51:44,false,"Phoenix Running","1.12","142","00:14:03","140","182","2.7","128","172","12:36","6:10","16","--","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:16.47","2","0.0","--","--","--","00:14:02","00:14:03","1,393","1,434"
Running,2021-07-07 07:38:35,false,"Phoenix Running","0.95","141","00:12:08","157","167","3.0","133","165","12:50","7:23","--","13","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","12:07.78","1","0.0","--","--","--","00:12:08","00:12:08","1,401","1,419"
Running,2021-07-01 06:19:45,false,"Phoenix Running","2.71","338","00:31:34","141","160","3.5","154","239","11:40","10:14","19","14","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:47.50","3","0.0","--","--","--","00:31:21","00:31:34","1,411","1,432"
Running,2021-06-29 07:32:46,false,"Phoenix Running","2.73","377","00:31:39","154","184","4.0","148","171","11:36","6:38","30","30","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","08:48.66","3","0.0","--","--","--","00:31:39","00:31:39","1,401","1,437"
