Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2017-12-08 16:40:54,false,"Running","2.71","261","00:21:51","155","171","--","--","--","8:03","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:21:24","00:21:51","--","--"
Walking,2017-11-26 12:57:54,false,"Walking","11.67","1,709","04:54:46","102","168","--","--","--","25:15","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","12","0.0","--","--","--","03:35:10","04:54:46","--","--"
Cardio,2017-11-19 14:53:28,false,"Cardio","0.00","215","00:20:39","142","176","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:00:00","00:20:39","--","--"
Running,2017-11-15 14:14:43,false,"Running","3.46","347","00:28:50","156","182","--","--","--","8:20","2:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:28:35","00:28:50","--","--"
Running,2017-11-13 18:00:55,false,"Running","3.58","342","00:29:12","153","166","--","--","--","8:10","1:37","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:29:08","00:29:12","--","--"
Running,2017-11-10 17:50:35,false,"Running","2.56","247","00:20:59","154","165","--","--","--","8:11","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:20:47","00:20:59","--","--"
Running,2017-11-08 17:41:03,false,"Running","1.74","146","00:14:30","139","162","--","--","--","8:20","2:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","00:14:16","00:14:30","--","--"
Running,2017-10-31 17:09:43,false,"Running","1.89","183","00:14:45","159","179","--","--","--","7:49","2:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:14:40","00:14:45","--","--"
Running,2017-10-25 18:49:39,false,"Running","2.93","235","00:23:47","137","155","--","--","--","8:07","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:23:47","00:23:47","--","--"
Running,2017-10-16 18:09:14,false,"Running","3.20","269","00:26:36","140","164","--","--","--","8:18","4:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:25:57","00:26:36","--","--"
Running,2017-10-14 10:09:32,false,"Running","10.76","988","01:24:53","153","176","--","--","--","7:53","3:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","01:23:55","01:24:53","--","--"
Running,2017-10-12 18:44:57,false,"Running","6.32","596","00:49:27","156","173","--","--","--","7:50","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:49:27","00:49:27","--","--"
Running,2017-10-08 10:45:40,false,"Running","12.64","1,176","01:40:51","151","181","--","--","--","7:59","2:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:00:00","55:38:31","--","--"
Running,2017-10-06 17:59:25,false,"Running","4.06","400","00:33:40","153","166","--","--","--","8:17","2:26","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:33:26","00:33:40","--","--"
Running,2017-10-05 09:17:01,false,"Running","4.58","462","00:36:05","161","180","--","--","--","7:53","3:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:35:54","00:36:05","--","--"
Running,2017-10-03 20:11:29,false,"Running","2.97","302","00:23:58","159","184","--","--","--","8:05","2:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:23:51","00:23:58","--","--"
Running,2017-10-01 07:38:48,false,"Running","10.39","1,003","01:21:38","156","172","--","--","--","7:51","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","01:21:28","01:21:38","--","--"
Running,2017-09-29 19:02:40,false,"Running","6.34","632","00:49:34","160","190","--","--","--","7:49","1:57","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:49:20","00:49:34","--","--"
Running,2017-09-27 17:39:43,false,"Running","4.54","447","00:37:20","154","175","--","--","--","8:13","3:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:35:39","00:37:20","--","--"
Running,2017-09-25 21:31:45,false,"Running","3.48","293","00:28:04","141","158","--","--","--","8:04","4:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:28:00","00:28:04","--","--"
Running,2017-09-18 21:09:47,false,"Running","2.78","288","00:22:07","162","183","--","--","--","7:57","2:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:21:55","00:22:07","--","--"
Running,2017-09-16 18:40:14,false,"Running","7.24","732","00:56:05","163","181","--","--","--","7:45","3:41","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:56:06","00:56:05","--","--"
Running,2017-09-14 19:16:29,false,"Running","4.33","455","00:37:39","155","186","--","--","--","8:42","3:00","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.00","--","0.0","--","--","--","00:37:15","00:37:39","--","--"
