Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water
6:41 AM,175.3 lbs,0.4 lbs,23.7,21.8 %,74.0 lbs,11.0 lbs,57.1 %
" Jun 20, 2021",,,,,,,
7:30 AM,175.7 lbs,1.7 lbs,23.8,22.6 %,74.1 lbs,10.9 lbs,56.5 %
" Jun 18, 2021",,,,,,,
5:43 AM,177.4 lbs,1.1 lbs,24,22.6 %,74.5 lbs,11.1 lbs,56.5 %
" Jun 16, 2021",,,,,,,
5:58 AM,176.3 lbs,1.9 lbs,23.9,22.2 %,74.2 lbs,11.1 lbs,56.8 %
" Jun 15, 2021",,,,,,,
5:58 AM,174.4 lbs,1.6 lbs,23.6,22 %,73.7 lbs,10.9 lbs,56.9 %
" Jun 14, 2021",,,,,,,
6:18 AM,176.0 lbs,1.3 lbs,23.8,22 %,74.1 lbs,11.1 lbs,57.0 %
" Jun 13, 2021",,,,,,,
6:17 AM,174.6 lbs,1.7 lbs,23.7,22.1 %,73.8 lbs,10.9 lbs,56.8 %
" Jun 12, 2021",,,,,,,
6:17 AM,173.0 lbs,0.8 lbs,23.4,22.1 %,73.4 lbs,10.8 lbs,56.9 %
" Jun 11, 2021",,,,,,,
6:11 AM,173.8 lbs,2.1 lbs,23.5,22.3 %,73.6 lbs,10.8 lbs,56.8 %
" Jun 10, 2021",,,,,,,
6:14 AM,175.9 lbs,0.2 lbs,23.8,22.1 %,74.1 lbs,11.0 lbs,56.8 %
" Jun 9, 2021",,,,,,,
6:20 AM,175.7 lbs,2.4 lbs,23.8,22.4 %,74.1 lbs,11.0 lbs,56.7 %
" Jun 8, 2021",,,,,,,
6:05 AM,173.3 lbs,0.1 lbs,23.5,21.9 %,73.5 lbs,10.9 lbs,57.0 %
" Jun 7, 2021",,,,,,,
5:37 AM,173.2 lbs,3.4 lbs,23.5,22.7 %,73.5 lbs,10.7 lbs,56.5 %
" Jun 6, 2021",,,,,,,
6:16 AM,176.6 lbs,2.0 lbs,23.9,22.2 %,74.3 lbs,11.1 lbs,56.8 %
" Jun 5, 2021",,,,,,,
6:47 AM,174.6 lbs,1.1 lbs,23.6,22.6 %,73.8 lbs,10.8 lbs,56.5 %
" Jun 4, 2021",,,,,,,
6:24 AM,175.7 lbs,0.7 lbs,23.8,22.4 %,74.1 lbs,11.0 lbs,56.7 %
" Jun 3, 2021",,,,,,,
7:00 AM,176.4 lbs,1.3 lbs,23.9,21.9 %,74.2 lbs,11.1 lbs,57.0 %
" May 30, 2021",,,,,,,
6:16 AM,177.7 lbs,1.4 lbs,24.1,22.5 %,74.6 lbs,11.1 lbs,56.6 %
" May 29, 2021",,,,,,,
6:50 AM,176.3 lbs,0.1 lbs,23.9,22.4 %,74.2 lbs,11.0 lbs,56.6 %
" May 28, 2021",,,,,,,
6:31 AM,176.2 lbs,0.0 lbs,23.9,22.8 %,74.2 lbs,10.9 lbs,56.4 %
" May 27, 2021",,,,,,,
7:22 AM,176.2 lbs,0.3 lbs,23.9,22.4 %,74.2 lbs,11.0 lbs,56.6 %
" May 26, 2021",,,,,,,
7:12 AM,176.5 lbs,0.7 lbs,23.9,22 %,74.2 lbs,11.1 lbs,56.9 %
" May 25, 2021",,,,,,,
6:46 AM,175.8 lbs,2.9 lbs,23.8,22.9 %,74.1 lbs,10.9 lbs,56.3 %
" May 24, 2021",,,,,,,
6:12 AM,178.7 lbs,1.4 lbs,24.2,22.3 %,74.8 lbs,11.2 lbs,56.7 %
" May 23, 2021",,,,,,,
7:51 AM,177.3 lbs,1.3 lbs,24,22.7 %,74.4 lbs,11.0 lbs,56.4 %
" May 22, 2021",,,,,,,
5:41 AM,176.0 lbs,1.8 lbs,23.8,22.1 %,74.1 lbs,11.0 lbs,56.9 %
" May 21, 2021",,,,,,,
6:34 AM,174.2 lbs,1.3 lbs,23.6,22.3 %,73.7 lbs,10.8 lbs,56.7 %
" May 20, 2021",,,,,,,
6:10 AM,175.5 lbs,2.7 lbs,23.8,22 %,74.0 lbs,11.0 lbs,56.9 %
" May 19, 2021",,,,,,,
6:06 AM,178.2 lbs,0.7 lbs,24.1,21.6 %,74.7 lbs,11.3 lbs,57.2 %
" May 17, 2021",,,,,,,
6:17 AM,177.5 lbs,0.2 lbs,24,21.4 %,74.5 lbs,11.3 lbs,57.4 %
" May 16, 2021",,,,,,,
6:08 AM,177.7 lbs,1.5 lbs,24.1,22.4 %,74.6 lbs,11.1 lbs,56.6 %
" May 15, 2021",,,,,,,
6:27 AM,176.2 lbs,0.3 lbs,23.9,21.8 %,74.2 lbs,11.1 lbs,57.1 %
" May 14, 2021",,,,,,,
6:04 AM,175.9 lbs,0.7 lbs,23.8,21.8 %,74.1 lbs,11.1 lbs,57.1 %
" May 13, 2021",,,,,,,
6:02 AM,175.2 lbs,0.1 lbs,23.7,21.9 %,73.9 lbs,11.0 lbs,57.0 %
" May 12, 2021",,,,,,,
7:29 AM,175.3 lbs,0.7 lbs,23.7,22.2 %,73.9 lbs,11.0 lbs,56.8 %
" May 11, 2021",,,,,,,
6:19 AM,176.0 lbs,1.5 lbs,23.8,21.8 %,74.1 lbs,11.1 lbs,57.1 %
" May 10, 2021",,,,,,,
6:36 AM,177.5 lbs,2.1 lbs,24,22.1 %,74.5 lbs,11.2 lbs,56.9 %
" May 9, 2021",,,,,,,
6:44 AM,175.4 lbs,0.5 lbs,23.8,22.7 %,74.0 lbs,10.9 lbs,56.5 %
" May 8, 2021",,,,,,,
7:31 AM,175.9 lbs,0.9 lbs,23.8,21.8 %,74.1 lbs,11.1 lbs,57.1 %
" May 7, 2021",,,,,,,
8:12 AM,176.8 lbs,0.2 lbs,23.9,22.2 %,74.3 lbs,11.1 lbs,56.8 %
" May 6, 2021",,,,,,,
6:54 AM,176.6 lbs,0.3 lbs,23.9,21.9 %,74.3 lbs,11.1 lbs,57.0 %
" May 5, 2021",,,,,,,
6:51 AM,176.3 lbs,1.0 lbs,23.9,22 %,74.2 lbs,11.1 lbs,57.0 %
" May 4, 2021",,,,,,,
7:06 AM,175.3 lbs,2.1 lbs,23.7,21.9 %,74.0 lbs,11.0 lbs,57.0 %
" May 3, 2021",,,,,,,
6:55 AM,177.4 lbs,0.3 lbs,24,21.8 %,74.5 lbs,11.2 lbs,57.1 %
" May 2, 2021",,,,,,,
8:11 AM,177.1 lbs,3.0 lbs,24,21.3 %,74.4 lbs,11.3 lbs,57.4 %
" May 1, 2021",,,,,,,
6:43 AM,174.1 lbs,0.4 lbs,23.6,21.7 %,73.7 lbs,11.0 lbs,57.2 %
" Apr 30, 2021",,,,,,,
7:20 AM,174.5 lbs,0.1 lbs,23.6,21.8 %,73.8 lbs,11.0 lbs,57.1 %
" Apr 29, 2021",,,,,,,
6:47 AM,174.6 lbs,2.1 lbs,23.6,21.9 %,73.8 lbs,11.0 lbs,57.0 %
" Apr 28, 2021",,,,,,,
6:57 AM,176.7 lbs,0.8 lbs,23.9,22.3 %,74.3 lbs,11.1 lbs,56.7 %
" Apr 27, 2021",,,,,,,
6:47 AM,175.9 lbs,1.1 lbs,23.8,21.7 %,74.1 lbs,11.1 lbs,57.1 %
" Apr 26, 2021",,,,,,,
7:16 AM,177.0 lbs,0.7 lbs,24,21.9 %,74.4 lbs,11.2 lbs,57.0 %
" Apr 25, 2021",,,,,,,
6:15 AM,176.3 lbs,0.3 lbs,23.9,22.2 %,74.2 lbs,11.1 lbs,56.8 %
" Apr 24, 2021",,,,,,,
8:10 AM,176.6 lbs,1.1 lbs,23.9,21.9 %,74.3 lbs,11.2 lbs,57.0 %
" Apr 23, 2021",,,,,,,
7:56 AM,175.5 lbs,0.2 lbs,23.8,21.7 %,74.0 lbs,11.1 lbs,57.2 %
