Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-09-04 08:36:10,false,"Running","1.45","182","00:14:19","155","171","--","--","--","9:51","7:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","14:19","0:00","0.0","0:00","No","14:19.27","1","0.0"
Running,2020-09-01 08:13:46,false,"Running","3.34","424","00:31:23","160","173","--","--","--","9:24","3:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","31:23","0:00","0.0","0:00","No","31:22.71","1","0.0"
Running,2020-08-19 08:00:32,false,"Running","2.05","240","00:19:00","154","182","--","--","--","9:15","0:58","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:00","0:00","0.0","0:00","No","18:59.90","1","0.0"
Running,2020-08-13 08:37:25,false,"Running","4.74","588","00:48:51","149","181","--","--","--","10:18","3:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","48:51","0:00","0.0","0:00","No","48:51.20","1","0.0"
Running,2020-08-05 08:52:23,false,"Running","3.49","482","00:42:48","143","182","--","--","--","12:16","1:19","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","42:48","0:00","0.0","0:00","No","42:47.99","1","0.0"
Running,2020-07-31 08:51:55,false,"Running","3.17","383","00:31:46","149","176","--","--","--","10:01","1:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","31:46","0:00","0.0","0:00","No","31:46.43","1","0.0"
Running,2020-07-27 07:57:38,false,"Running","3.42","401","00:32:28","151","181","--","--","--","9:30","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","32:28","0:00","0.0","0:00","No","32:28.18","1","0.0"
Running,2020-07-20 08:44:02,false,"Running","2.84","347","00:28:44","151","166","--","--","--","10:07","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:44","0:00","0.0","0:00","No","28:43.70","1","0.0"
Running,2020-07-06 07:44:27,false,"Running","2.37","252","00:24:01","137","161","--","--","--","10:08","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","24:01","0:00","0.0","0:00","No","24:01.00","1","0.0"
Running,2020-07-01 07:54:59,false,"Running","2.09","246","00:25:24","130","175","--","--","--","12:10","3:47","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","25:24","0:00","0.0","0:00","No","25:24.04","1","0.0"
